TCID;SUITE_NAMES;CASE_NAME;IMPORTANCE;STATUS;SUMMARY;STEP;Result
22;Smoke testing > Register functionality;Register an account with valid email and password;medium;draft;Verify that the user can create an account.;"Click on ""Cont""";
22;;;;;;"Click on ""Inregistreaza-te""";
22;;;;;;"Enter a valid email and password

e.g


	email: t760389@gmail.com
	first name: a
	last name: a
	password: 123456
";
22;;;;;;"Click on ""Creeaza cont""";"An account is created.
The user is redirected to the main page."
23;Smoke testing > Login functionality;Login an user using valid credentials;medium;draft;Verify that the user can log in to the application.;"Click on ""Cont""";
23;;;;;;"Enter a valid email and password

e.g


	email: test@test.ro
	password: parola
";
23;;;;;;"Click on ""Intra in cont""";The user is redirected to the main page.
26;Smoke testing > Login functionality;Login using facebook;medium;draft;Verify that the user can log in using Facebook.;"Click on ""Cont""";
26;;;;;;"Click on ""Logare cu Facebook""";The user is redirected to the facebook log in page.
26;;;;;;Add a valid email and password;
26;;;;;;"Click on ""Continua ca""";The user is redirected to the main page.
27;Smoke testing > Search functionality;Search an existing product;medium;draft;Verify that the user receives results according to the search.;"Click on ""Cauta un produs""";
27;;;;;;"Enter an existing product e.g ""ceas""";
27;;;;;;"Click on ""Cautare ceas""";The user only receives watches as a result.
117;Smoke testing > Cart functionality;Add a product to the shopping bag;medium;draft;Verify that the user can add a product to the shopping bag.;"Hover the mouse on ""Femei""";
117;;;;;;"Click on ""Rochii""";The user receives only dresses as result.
117;;;;;;"Click on ""Rochie mini cu snur decorativ""";
117;;;;;;"Select size ""XS"" color ""galben""";
117;;;;;;"Click on ""Adauga 29,99 RON""";"The product is added to the shopping bag.
The user receives a message with two options ""Catre cos"" and ""Continuati cumparaturile""."
30;Smoke testing > Cart functionality;The quantity is updated when adding the same product to shopping bag;medium;draft;Verify that the quantity and price is updated when adding the same product to the shopping bag.;"Hover the mouse on ""Femei""";
30;;;;;;"Click on ""Rochii""";The user receives only dresses.
30;;;;;;"Click on "" Rochie mini cu snur decorativ """;
30;;;;;;"Select size ""XS"" and color ""galben""";
30;;;;;;"Click on ""Adauga 29,99 RON""";"The quatity and price is updated.

The user receives a message with two options ""Catre cos"" and ""Continuati cumparaturile""."
29;Smoke testing > Cart functionality;A new entry is added to the shopping bag when the size and color are different;medium;draft;Verify that when adding the same product with a different size and color a new entry is added to the shopping cart;"Hover the mouse on ""Femei""";
